Datetime,Water Level (m)
2023-08-09 18:00:00,-0.10964684
2023-08-09 19:00:00,-0.21500024
2023-08-09 20:00:00,-0.13071424
2023-08-09 21:00:00,0.08082841
2023-08-09 22:00:00,0.34982753
2023-08-09 23:00:00,0.6403195
2023-08-10 00:00:00,0.8760973
2023-08-10 01:00:00,1.0210729
2023-08-10 02:00:00,1.0136586
2023-08-10 03:00:00,0.85763144
2023-08-10 04:00:00,0.65685064
2023-08-10 05:00:00,0.45134637
2023-08-10 06:00:00,0.2615057
2023-08-10 07:00:00,0.115487464
2023-08-10 08:00:00,0.06400353
2023-08-10 09:00:00,0.17153005
2023-08-10 10:00:00,0.3398262
2023-08-10 11:00:00,0.5383272
2023-08-10 12:00:00,0.7041974
2023-08-10 13:00:00,0.7959094
2023-08-10 14:00:00,0.7904538
2023-08-10 15:00:00,0.66523105
2023-08-10 16:00:00,0.49497607
2023-08-10 17:00:00,0.3100036
2023-08-10 18:00:00,0.12083836
2023-08-10 19:00:00,-0.047587685
2023-08-10 20:00:00,-0.1442418
2023-08-10 21:00:00,-0.08162399
2023-08-10 22:00:00,0.10371496
2023-08-10 23:00:00,0.34118792
2023-08-11 00:00:00,0.60446566
2023-08-11 01:00:00,0.83278966
2023-08-11 02:00:00,1.0043793
2023-08-11 03:00:00,1.0635161
2023-08-11 04:00:00,0.9792967
2023-08-11 05:00:00,0.8112957
2023-08-11 06:00:00,0.6061874
2023-08-11 07:00:00,0.4074143
2023-08-11 08:00:00,0.22057925
2023-08-11 09:00:00,0.080271125
2023-08-11 10:00:00,0.04888171
2023-08-11 11:00:00,0.19082898
2023-08-11 12:00:00,0.37467316
2023-08-11 13:00:00,0.57309914
2023-08-11 14:00:00,0.71641624
2023-08-11 15:00:00,0.7939345
2023-08-11 16:00:00,0.75819993
2023-08-11 17:00:00,0.6249488
2023-08-11 18:00:00,0.4556496
2023-08-11 19:00:00,0.2651382
2023-08-11 20:00:00,0.07583601
2023-08-11 21:00:00,-0.0864833
2023-08-11 22:00:00,-0.15187244
2023-08-11 23:00:00,0.0047236336
2023-08-12 00:00:00,0.24609873
2023-08-12 01:00:00,0.5480222
2023-08-12 02:00:00,0.8256234
2023-08-12 03:00:00,1.0398322
2023-08-12 04:00:00,1.1416012
2023-08-12 05:00:00,1.0799791
2023-08-12 06:00:00,0.9143897
2023-08-12 07:00:00,0.69275105
2023-08-12 08:00:00,0.47249094
2023-08-12 09:00:00,0.2536637
2023-08-12 10:00:00,0.06555201
2023-08-12 11:00:00,-0.05018311
2023-08-12 12:00:00,0.035241894
2023-08-12 13:00:00,0.23542264
2023-08-12 14:00:00,0.4763798
2023-08-12 15:00:00,0.6933916
2023-08-12 16:00:00,0.81976086
2023-08-12 17:00:00,0.8263938
2023-08-12 18:00:00,0.6727866
2023-08-12 19:00:00,0.471777
2023-08-12 20:00:00,0.25102732
2023-08-12 21:00:00,0.036968794
2023-08-12 22:00:00,-0.1443929
2023-08-12 23:00:00,-0.22806393
2023-08-13 00:00:00,-0.07258751
2023-08-13 01:00:00,0.17887266
2023-08-13 02:00:00,0.4915119
2023-08-13 03:00:00,0.80856097
2023-08-13 04:00:00,1.0598671
2023-08-13 05:00:00,1.2113799
2023-08-13 06:00:00,1.1418655
2023-08-13 07:00:00,0.9373319
2023-08-13 08:00:00,0.6958133
2023-08-13 09:00:00,0.4396748
2023-08-13 10:00:00,0.18641955
2023-08-13 11:00:00,-0.033150833
2023-08-13 12:00:00,-0.16517876
2023-08-13 13:00:00,-0.04241497
2023-08-13 14:00:00,0.1895063
2023-08-13 15:00:00,0.4688301
2023-08-13 16:00:00,0.7226106
2023-08-13 17:00:00,0.87698555
2023-08-13 18:00:00,0.86720353
2023-08-13 19:00:00,0.6830326
2023-08-13 20:00:00,0.461433
2023-08-13 21:00:00,0.21622863
2023-08-13 22:00:00,-0.022470059
2023-08-13 23:00:00,-0.22263509
2023-08-14 00:00:00,-0.30819413
2023-08-14 01:00:00,-0.10291242
2023-08-14 02:00:00,0.17923
2023-08-14 03:00:00,0.5320954
2023-08-14 04:00:00,0.8798042
2023-08-14 05:00:00,1.178815
2023-08-14 06:00:00,1.2806222
2023-08-14 07:00:00,1.1479394
2023-08-14 08:00:00,0.9027509
2023-08-14 09:00:00,0.64420843
2023-08-14 10:00:00,0.35943204
2023-08-14 11:00:00,0.0814462
2023-08-14 12:00:00,-0.13328737
2023-08-14 13:00:00,-0.22985853
2023-08-14 14:00:00,-0.008263481
2023-08-14 15:00:00,0.2702625
2023-08-14 16:00:00,0.5989922
2023-08-14 17:00:00,0.86600935
2023-08-14 18:00:00,1.0178347
2023-08-14 19:00:00,0.9270889
2023-08-14 20:00:00,0.70127064
2023-08-14 21:00:00,0.43830338
2023-08-14 22:00:00,0.16609314
2023-08-14 23:00:00,-0.08938363
2023-08-15 00:00:00,-0.2953307
2023-08-15 01:00:00,-0.32988796
2023-08-15 02:00:00,-0.059905913
2023-08-15 03:00:00,0.26822764
2023-08-15 04:00:00,0.6700235
2023-08-15 05:00:00,1.0672302
2023-08-15 06:00:00,1.3241156
2023-08-15 07:00:00,1.3470143
2023-08-15 08:00:00,1.1049609
2023-08-15 09:00:00,0.8505893
2023-08-15 10:00:00,0.5481951
2023-08-15 11:00:00,0.25565964
2023-08-15 12:00:00,-0.017647179
2023-08-15 13:00:00,-0.23251162
2023-08-15 14:00:00,-0.21824725
2023-08-15 15:00:00,0.06864631
2023-08-15 16:00:00,0.4039739
2023-08-15 17:00:00,0.76552665
2023-08-15 18:00:00,1.0220419
